index,category,quality,format,compression,photo_type,lighting,artifact,platform_degradation,ethnicity,skin_tone,age,gender_presentation,background,edge_case,scene_subject,prompt
2743,scene,high,png,100,doorbell camera capture,screen-lit in a dark room,inconsistent shadows,,,,,,,,a wedding reception,"A doorbell camera capture of a wedding reception, with screen-lit in a dark room, inconsistent shadows"
2744,face,high,webp,64,webcam image from a video call,flat overcast daylight,lens distortion,as if saved from a YouTube video at 480p,Afro-Caribbean,dark brown skin,elderly,man,construction site,,,"A webcam image from a video call of a elderly Afro-Caribbean man with dark brown skin in construction site, with flat overcast daylight, lens distortion, as if saved from a YouTube video at 480p"
2745,nature,medium,jpeg,100,food photography close-up,direct flash,color banding,as if saved from a YouTube video at 480p,,,,,,,a dense forest trail,"A food photography close-up of a dense forest trail, with direct flash, color banding, as if saved from a YouTube video at 480p"
2746,scene,medium,jpeg,30,tablet camera photo,backlit with rim lighting,lens distortion,as if saved from a YouTube video at 480p,,,,,,,a swimming pool with people around it,"A tablet camera photo of a swimming pool with people around it, with backlit with rim lighting, lens distortion, as if saved from a YouTube video at 480p"
2747,face,medium,jpeg,54,smartphone photo,nighttime artificial lighting,slight motion blur,,East Asian,very light skin,young,person,parking garage,face through glass,,"A smartphone photo of a young East Asian person with very light skin in parking garage, with nighttime artificial lighting, slight motion blur, face through glass"
2748,face,medium,webp,84,security camera CCTV footage,very low ambient light,heavy JPEG compression artifacts,,Central Asian,,elderly,person,rooftop with skyline,,,"A security camera CCTV footage of a elderly Central Asian person in rooftop with skyline, with very low ambient light, heavy JPEG compression artifacts"
2749,face,high,jpeg,38,candid photo taken from a distance,dramatic side lighting,digital zoom pixelation,as if saved from a YouTube video at 480p,Central Asian,,middle-aged,woman,outdoor park,face reflected in mirror,,"A candid photo taken from a distance of a middle-aged Central Asian woman in outdoor park, with dramatic side lighting, digital zoom pixelation, face reflected in mirror, as if saved from a YouTube video at 480p"
2750,nature,high,webp,56,disposable camera photo,golden hour sunlight,digital zoom pixelation,,,,,,,,a dense forest trail,"A disposable camera photo of a dense forest trail, with golden hour sunlight, digital zoom pixelation"
2751,face,low,webp,57,scanned printed photograph,tungsten indoor lighting with warm cast,digital zoom pixelation,,East Asian,,young,woman,office environment,,,"A scanned printed photograph of a young East Asian woman in office environment, with tungsten indoor lighting with warm cast, digital zoom pixelation"
2752,nature,medium,jpeg,47,point-and-shoot digital camera photo,very low ambient light,,,,,,,,,rolling green hills under a cloudy sky,"A point-and-shoot digital camera photo of rolling green hills under a cloudy sky, with very low ambient light"
2753,face,medium,jpeg,94,photo with heavy beauty filter,blue hour twilight,chromatic aberration,,Southeast Asian,very light skin,elderly,man,bedroom,,,"A photo with heavy beauty filter of a elderly Southeast Asian man with very light skin in bedroom, with blue hour twilight, chromatic aberration"
2754,nature,high,webp,86,black and white film photo,very low ambient light,lens distortion,,,,,,,,a colorful row of townhouses,"A black and white film photo of a colorful row of townhouses, with very low ambient light, lens distortion"
2755,scene,high,jpeg,94,dashcam footage,golden hour sunlight,chromatic aberration,,,,,,,,a beach with people,"A dashcam footage of a beach with people, with golden hour sunlight, chromatic aberration"
2756,face,high,png,100,scanned printed photograph,neon lighting,,,East Asian,olive skin,young,man,cafe or restaurant,,,"A scanned printed photograph of a young East Asian man with olive skin in cafe or restaurant, with neon lighting"
2757,nature,low,webp,81,documentary-style photo,mixed indoor-outdoor lighting,lens distortion,,,,,,,,a modern glass skyscraper reflecting clouds,"A documentary-style photo of a modern glass skyscraper reflecting clouds, with mixed indoor-outdoor lighting, lens distortion"
2758,scene,high,webp,71,smartphone photo,nighttime artificial lighting,,as if shared on Twitter with reduced resolution,,,,,,,a music festival crowd at night,"A smartphone photo of a music festival crowd at night, with nighttime artificial lighting, as if shared on Twitter with reduced resolution"
2759,nature,high,jpeg,87,large format film photo,golden hour sunlight,overexposed highlights,as if screenshotted from TikTok,,,,,,,a modern glass skyscraper reflecting clouds,"A large format film photo of a modern glass skyscraper reflecting clouds, with golden hour sunlight, overexposed highlights, as if screenshotted from TikTok"
2760,scene,high,webp,58,night vision camera image,tungsten indoor lighting with warm cast,color banding,,,,,,,,a classroom full of students,"A night vision camera image of a classroom full of students, with tungsten indoor lighting with warm cast, color banding"
2761,face,medium,jpeg,31,photo taken of a TV screen,tungsten indoor lighting with warm cast,chromatic aberration,,Middle Eastern,,middle-aged,man,office environment,,,"A photo taken of a TV screen of a middle-aged Middle Eastern man in office environment, with tungsten indoor lighting with warm cast, chromatic aberration"
2762,nature,medium,png,100,photojournalist shot,neon lighting,overexposed highlights,,,,,,,,a colorful row of townhouses,"A photojournalist shot of a colorful row of townhouses, with neon lighting, overexposed highlights"
2763,face,low,webp,51,passport photo or ID headshot,harsh overhead fluorescent lighting,lens distortion,as if shared on Twitter with reduced resolution,Middle Eastern,,young,woman,rooftop with skyline,face mid-expression with motion blur,,"A passport photo or ID headshot of a young Middle Eastern woman in rooftop with skyline, with harsh overhead fluorescent lighting, lens distortion, face mid-expression with motion blur, as if shared on Twitter with reduced resolution"
2764,face,high,webp,56,employee badge photo,nighttime artificial lighting,,,Indigenous,,elderly,woman,stairwell,,,"A employee badge photo of a elderly Indigenous woman in stairwell, with nighttime artificial lighting"
2765,face,low,webp,76,Polaroid instant photo,dappled shade under trees,color banding,,Indigenous,,middle-aged,woman,cafe or restaurant,face at sharp angle,,"A Polaroid instant photo of a middle-aged Indigenous woman in cafe or restaurant, with dappled shade under trees, color banding, face at sharp angle"
2766,face,low,jpeg,86,mugshot-style photo,blue hour twilight,slight motion blur,as if forwarded on Telegram multiple times,South Asian,,elderly,woman,hospital corridor,,,"A mugshot-style photo of a elderly South Asian woman in hospital corridor, with blue hour twilight, slight motion blur, as if forwarded on Telegram multiple times"
2767,scene,medium,png,100,old flip phone camera photo,direct flash,chromatic aberration,as if saved from a YouTube video at 480p,,,,,,,a classroom full of students,"A old flip phone camera photo of a classroom full of students, with direct flash, chromatic aberration, as if saved from a YouTube video at 480p"
2768,scene,low,jpeg,88,street photography shot,harsh overhead fluorescent lighting,inconsistent shadows,,,,,,,,a graduation ceremony audience,"A street photography shot of a graduation ceremony audience, with harsh overhead fluorescent lighting, inconsistent shadows"
2769,face,high,webp,58,disposable camera photo,very low ambient light,,,Middle Eastern,,middle-aged,man,grocery store aisle,,,"A disposable camera photo of a middle-aged Middle Eastern man in grocery store aisle, with very low ambient light"
2770,face,low,webp,65,tablet camera photo,dramatic side lighting,,,African American,very light skin,elderly,man,outdoor park,wearing sunglasses,,"A tablet camera photo of a elderly African American man with very light skin in outdoor park, with dramatic side lighting, wearing sunglasses"
2771,scene,medium,png,100,selfie,dappled shade under trees,overexposed highlights,,,,,,,,a busy airport terminal with travelers,"A selfie of a busy airport terminal with travelers, with dappled shade under trees, overexposed highlights"
2772,nature,low,webp,75,HDR photo with tone-mapped highlights,dramatic side lighting,inconsistent shadows,as if screenshotted from TikTok,,,,,,,a protest sign with hand-painted text,"A HDR photo with tone-mapped highlights of a protest sign with hand-painted text, with dramatic side lighting, inconsistent shadows, as if screenshotted from TikTok"
